COH,20120308,0.021801
LO,20120209,0.047900
PDCO,20120118,-0.020669
PDCO,20120223,-0.030793
GT,20120110,0.021597
GT,20120214,-0.051539
TJX,20120203,-0.492807
DNR,20120117,0.023433
DNR,20120306,-0.021939
PXD,20120124,-0.032271
PXD,20120202,0.028106
PXD,20120210,-0.020241
SPLS,20120130,-0.034354
NUE,20120316,0.030150
STI,20120113,-0.024703
STI,20120214,-0.024686
STI,20120402,-0.020687
PRGO,20120207,0.043612
PRGO,20120227,-0.021093
IR,20120110,0.021572
IR,20120208,0.042332
MJN,20120126,0.022039
CAT,20120126,0.028978
CAT,20120306,-0.031974
OMC,20120402,-0.025666
EMN,20120127,0.083616
EMN,20120203,0.040230
EMN,20120306,-0.023928
MA,20120111,-0.025371
MA,20120202,0.026676
CSC,20120110,0.020539
CSC,20120208,0.080816
CSC,20120305,0.029055
KR,20120301,0.030265
ACE,20120201,0.022126
BBY,20120131,-0.032703
BBY,20120329,-0.047333
VFC,20120405,-0.038001
COL,20120119,0.050493
ECL,20120228,-0.029703
WLP,20120125,-0.069452
SEE,20120117,0.027809
GOOG,20120120,-0.076677
FTR,20120217,0.033632
FTR,20120402,0.023981
CCI,20120308,0.026811
CCI,20120312,0.020026
CF,20120110,0.026345
CF,20120112,-0.028476
CF,20120306,-0.021238
CF,20120308,0.020814
WYNN,20120110,0.023631
WYNN,20120112,-0.043882
WYNN,20120117,0.024200
WYNN,20120130,-0.023012
WYNN,20120203,-0.031214
WYNN,20120221,0.052888
WYNN,20120306,-0.022648
WYNN,20120313,0.029570
PNC,20120118,-0.023677
CPB,20120217,0.024329
FLR,20120306,-0.035954
ESRX,20120227,0.020988
ESRX,20120328,0.025747
ESRX,20120402,0.042636
FII,20120202,0.021677
FII,20120207,-0.035389
TWC,20120126,0.034727
HAR,20120207,0.086947
SWN,20120111,-0.020609
SWN,20120123,0.055046
SWN,20120228,-0.065950
EW,20120131,0.022614
EW,20120203,-0.104128
TIF,20120110,-0.094114
TIF,20120320,0.051543
MHP,20120131,0.023753
CNX,20120110,0.037676
CNX,20120117,0.025634
CNX,20120123,0.037856
CNX,20120306,-0.057871
JDSU,20120110,0.024433
JDSU,20120119,0.020570
JDSU,20120127,-0.027468
JDSU,20120202,0.033511
JDSU,20120307,0.028823
TYC,20120131,0.024182
TYC,20120328,0.039604
DOW,20120117,0.021861
DOW,20120202,-0.024160
AZO,20120228,0.023027
DF,20120215,0.092916
LUV,20120120,0.025806
